"altura","genero","contextura_madre","altura_madre"
172.8,"M","alta",165.6
170.4,"M","mediana",161.7
172.5,"M","mediana",161.5
157.9,"F","mediana",158.6
167,"M","mediana",158.9
161.4,"F","mediana",160.2
161.6,"F","mediana",161
156.9,"F","mediana",156
157.3,"F","bajita",154.2
168.3,"M","mediana",158.6
172.7,"M","mediana",159.7
173.9,"M","mediana",159.9
172.9,"M","alta",162.8
170.1,"M","mediana",160.2
161.3,"F","mediana",161.1
161.1,"F","mediana",159.7
168.8,"M","mediana",158.4
160.4,"F","mediana",159.6
172.3,"M","alta",162.9
162.8,"F","mediana",161.6
170.4,"M","mediana",160
173.5,"M","mediana",159.4
164.5,"F","mediana",161.9
168,"M","mediana",160.4
175.9,"M","alta",169.4
156.2,"F","mediana",161.5
157,"F","mediana",158.3
172.7,"M","mediana",158.8
165.4,"M","mediana",157.2
173.8,"M","mediana",156.9
179.5,"M","alta",166.5
156.3,"F","mediana",160
173.5,"M","mediana",159.6
157.2,"F","alta",164.2
160.3,"F","mediana",158
170.2,"M","mediana",159.7
162.5,"F","mediana",157.5
158,"F","mediana",159.5
169.8,"M","mediana",159.9
173.2,"M","bajita",153.2
167.8,"M","mediana",157.3
169.6,"M","mediana",159.3
157.1,"F","bajita",152.9
159.5,"F","mediana",162
173.1,"M","mediana",160.6
168.5,"M","bajita",155.1
164.4,"M","bajita",153
170.2,"M","mediana",159.1
170.7,"M","mediana",159
163,"F","mediana",160.2
161.7,"F","mediana",159
162.6,"F","mediana",161.9
164,"F","alta",163.6
162,"F","mediana",160.2
157.4,"F","mediana",158.3
170.8,"M","alta",162.2
153,"F","mediana",158.3
167.7,"M","mediana",158.7
156.7,"F","bajita",153.4
172.9,"M","mediana",159.1
169.7,"M","alta",163.1
163.7,"F","mediana",161.4
171.6,"M","mediana",158.6
161.2,"F","mediana",161.6
156.9,"F","mediana",160.1
170.4,"M","mediana",159.5
161.7,"F","alta",162.2
155.7,"F","mediana",158.8
174.9,"M","alta",163.5
174.9,"M","mediana",160.7
163.9,"F","alta",162.6
174.4,"M","alta",165.2
172.2,"M","mediana",158.8
162.2,"F","alta",163.3
160.4,"F","mediana",157.4
171.2,"M","bajita",153.7
175.2,"M","mediana",158.6
160.3,"F","mediana",159.2
174.5,"M","mediana",157.1
173.4,"M","mediana",157.9
157.9,"F","mediana",161.8
172.9,"M","alta",167.9
171,"M","mediana",156.4
177,"M","mediana",158.2
168.8,"M","mediana",156.5
159.4,"F","mediana",158.5
152.7,"F","mediana",158.9
165.8,"M","bajita",150.9
151.9,"F","mediana",156.2
170.1,"M","mediana",156.3
162.9,"F","alta",163
172.5,"M","bajita",154.4
165.2,"F","alta",162.6
164.3,"F","mediana",160.5
158.7,"F","mediana",160.5
173,"M","alta",165.7
160.6,"F","bajita",152.2
159.6,"F","mediana",157.9
155.3,"F","bajita",155
173.7,"M","mediana",158.5
177.3,"M","alta",164.1
173.6,"M","mediana",159.2
172.4,"M","mediana",161.6
173.9,"M","mediana",161
171.8,"M","bajita",155.1
156.6,"F","mediana",158.6
172.9,"M","mediana",159.3
175.6,"M","mediana",158.5
166.7,"M","bajita",154.4
158.2,"F","mediana",159.9
